coach,team,year_w_team,season
Lon Kruger,ATL,2,2001-2002
Jim O'Brien,BOS,2,2001-2002
Paul Silas,CHH,4,2001-2002
Tim Floyd,CHI,4,2001-2002
Bill Berry,CHI,1,2001-2002
Bill Cartwright,CHI,1,2001-2002
John Lucas,CLE,1,2001-2002
Don Nelson,DAL,5,2001-2002
Dan Issel,DEN,6,2001-2002
Mike Evans,DEN,1,2001-2002
Rick Carlisle,DET,1,2001-2002
Dave Cowens,GSW,2,2001-2002
Brian Winters,GSW,1,2001-2002
Rudy Tomjanovich,HOU,11,2001-2002
Isiah Thomas,IND,2,2001-2002
Alvin Gentry,LAC,2,2001-2002
Phil Jackson,LAL,3,2001-2002
Sidney Lowe,MEM,2,2001-2002
Pat Riley,MIA,7,2001-2002
George Karl,MIL,4,2001-2002
Flip Saunders,MIN,7,2001-2002
Byron Scott,NJN,2,2001-2002
Jeff Van Gundy,NYK,7,2001-2002
Don Chaney,NYK,1,2001-2002
Doc Rivers,ORL,3,2001-2002
Larry Brown,PHI,5,2001-2002
Scott Skiles,PHO,3,2001-2002
Frank Johnson,PHO,1,2001-2002
Maurice Cheeks,POR,1,2001-2002
Rick Adelman,SAC,4,2001-2002
Gregg Popovich,SAS,6,2001-2002
Nate McMillan,SEA,2,2001-2002
Lenny Wilkens,TOR,2,2001-2002
Jerry Sloan,UTA,14,2001-2002
Doug Collins,WAS,1,2001-2002
Terry Stotts,ATL,1,2002-2003
Jim O'Brien,BOS,3,2002-2003
Bill Cartwright,CHI,2,2002-2003
John Lucas,CLE,2,2002-2003
Keith Smart,CLE,1,2002-2003
Don Nelson,DAL,6,2002-2003
Jeff Bzdelik,DEN,1,2002-2003
Rick Carlisle,DET,2,2002-2003
Eric Musselman,GSW,1,2002-2003
Rudy Tomjanovich,HOU,12,2002-2003
Isiah Thomas,IND,3,2002-2003
Alvin Gentry,LAC,3,2002-2003
Dennis Johnson,LAC,1,2002-2003
Phil Jackson,LAL,4,2002-2003
Sidney Lowe,MEM,3,2002-2003
Hubie Brown,MEM,1,2002-2003
Pat Riley,MIA,8,2002-2003
George Karl,MIL,5,2002-2003
Flip Saunders,MIN,8,2002-2003
Byron Scott,NJN,3,2002-2003
Paul Silas,NOH,1,2002-2003
Don Chaney,NYK,2,2002-2003
Doc Rivers,ORL,4,2002-2003
Larry Brown,PHI,6,2002-2003
Frank Johnson,PHO,2,2002-2003
Maurice Cheeks,POR,2,2002-2003
Rick Adelman,SAC,5,2002-2003
Gregg Popovich,SAS,7,2002-2003
Nate McMillan,SEA,3,2002-2003
Lenny Wilkens,TOR,3,2002-2003
Jerry Sloan,UTA,15,2002-2003
Doug Collins,WAS,2,2002-2003
Jim O'Brien,BOS,4,2003-2004
John Carroll,BOS,1,2003-2004
Bill Cartwright,CHI,3,2003-2004
Pete Myers,CHI,1,2003-2004
Scott Skiles,CHI,1,2003-2004
Paul Silas,CLE,1,2003-2004
Don Nelson,DAL,7,2003-2004
Jeff Bzdelik,DEN,2,2003-2004
Larry Brown,DET,1,2003-2004
Eric Musselman,GSW,2,2003-2004
Jeff Van Gundy,HOU,1,2003-2004
Rick Carlisle,IND,1,2003-2004
Mike Dunleavy,LAC,1,2003-2004
Phil Jackson,LAL,5,2003-2004
Hubie Brown,MEM,2,2003-2004
Stan Van Gundy,MIA,1,2003-2004
Terry Porter,MIL,1,2003-2004
Flip Saunders,MIN,9,2003-2004
Byron Scott,NJN,4,2003-2004
Lawrence Frank,NJN,1,2003-2004
Tim Floyd,NOH,1,2003-2004
Don Chaney,NYK,3,2003-2004
Herb Williams,NYK,1,2003-2004
Lenny Wilkens,NYK,1,2003-2004
Doc Rivers,ORL,5,2003-2004
Johnny Davis,ORL,1,2003-2004
Randy Ayers,PHI,1,2003-2004
Chris Ford,PHI,1,2003-2004
Frank Johnson,PHO,3,2003-2004
Mike D'Antoni,PHO,1,2003-2004
Maurice Cheeks,POR,3,2003-2004
Rick Adelman,SAC,6,2003-2004
Gregg Popovich,SAS,8,2003-2004
Nate McMillan,SEA,4,2003-2004
Kevin O'Neill,TOR,1,2003-2004
Jerry Sloan,UTA,16,2003-2004
Mike Woodson,ATL,1,2004-2005
Doc Rivers,BOS,1,2004-2005
Bernie Bickerstaff,CHA,1,2004-2005
Scott Skiles,CHI,2,2004-2005
Paul Silas,CLE,2,2004-2005
Brendan Malone,CLE,1,2004-2005
Don Nelson,DAL,8,2004-2005
Avery Johnson,DAL,1,2004-2005
Jeff Bzdelik,DEN,3,2004-2005
Michael Cooper,DEN,1,2004-2005
George Karl,DEN,1,2004-2005
Larry Brown,DET,2,2004-2005
Mike Montgomery,GSW,1,2004-2005
Jeff Van Gundy,HOU,2,2004-2005
Rick Carlisle,IND,2,2004-2005
Mike Dunleavy,LAC,2,2004-2005
Rudy Tomjanovich,LAL,1,2004-2005
Frank Hamblen,LAL,1,2004-2005
Hubie Brown,MEM,3,2004-2005
Lionel Hollins,MEM,2,2004-2005
Mike Fratello,MEM,1,2004-2005
Stan Van Gundy,MIA,2,2004-2005
Terry Porter,MIL,2,2004-2005
Flip Saunders,MIN,10,2004-2005
Kevin McHale,MIN,1,2004-2005
Lawrence Frank,NJN,2,2004-2005
Byron Scott,NOH,1,2004-2005
Lenny Wilkens,NYK,2,2004-2005
Herb Williams,NYK,2,2004-2005
Johnny Davis,ORL,2,2004-2005
Chris Jent,ORL,1,2004-2005
Jim O'Brien,PHI,1,2004-2005
Mike D'Antoni,PHO,2,2004-2005
Maurice Cheeks,POR,4,2004-2005
Kevin Pritchard,POR,1,2004-2005
Rick Adelman,SAC,7,2004-2005
Gregg Popovich,SAS,9,2004-2005
Nate McMillan,SEA,5,2004-2005
Sam Mitchell,TOR,1,2004-2005
Jerry Sloan,UTA,17,2004-2005
Eddie Jordan,WAS,2,2004-2005
Mike Woodson,ATL,2,2005-2006
Doc Rivers,BOS,2,2005-2006
Bernie Bickerstaff,CHA,2,2005-2006
Scott Skiles,CHI,3,2005-2006
Mike Brown,CLE,1,2005-2006
Avery Johnson,DAL,2,2005-2006
George Karl,DEN,2,2005-2006
Flip Saunders,DET,1,2005-2006
Mike Montgomery,GSW,2,2005-2006
Jeff Van Gundy,HOU,3,2005-2006
Rick Carlisle,IND,3,2005-2006
Mike Dunleavy,LAC,3,2005-2006
Phil Jackson,LAL,6,2005-2006
Mike Fratello,MEM,2,2005-2006
Stan Van Gundy,MIA,3,2005-2006
Pat Riley,MIA,9,2005-2006
Terry Stotts,MIL,1,2005-2006
Dwane Casey,MIN,1,2005-2006
Lawrence Frank,NJN,3,2005-2006
Byron Scott,NOK,2,2005-2006
Larry Brown,NYK,1,2005-2006
Brian Hill,ORL,5,2005-2006
Maurice Cheeks,PHI,1,2005-2006
Mike D'Antoni,PHO,3,2005-2006
Nate McMillan,POR,1,2005-2006
Rick Adelman,SAC,8,2005-2006
Gregg Popovich,SAS,10,2005-2006
Bob Weiss,SEA,1,2005-2006
